Title: ,KH03 Returns,,,
01/03/2016,RVN,Avon And Wiltshire Mental Health Partnership,529,462
01/03/2016,RVR,Epsom And St Helier University Hospitals,NA,NA
01/03/2016,RVV,East Kent Hospitals University,NA,NA
01/03/2016,RVW,North Tees And Hartlepool,NA,NA
01/03/2016,RVY,Southport And Ormskirk Hospital,NA,NA
01/03/2016,RW1,Southern Health,452,418
01/03/2016,RW3,Central Manchester University Hospitals,12,11
01/03/2016,RW4,Mersey Care,617,564
01/03/2016,RW5,Lancashire Care,517,479
01/03/2016,RW6,Pennine Acute Hospitals,NA,NA
01/03/2016,RWA,Hull And East Yorkshire Hospitals,NA,NA
01/03/2016,RWD,United Lincolnshire Hospitals,NA,NA
01/03/2016,RWE,University Hospitals Of Leicester,NA,NA
01/03/2016,RWF,Maidstone And Tunbridge Wells,NA,NA
01/03/2016,RWG,West Hertfordshire Hospitals,NA,NA
01/03/2016,RWH,East And North Hertfordshire,NA,NA
01/03/2016,RWJ,Stockport,NA,NA
01/03/2016,RWK,East London,915,774
01/03/2016,RWN,South Essex Partnership University,388,364
01/03/2016,RWP,Worcestershire Acute Hospitals,NA,NA
01/03/2016,RWV,Devon Partnership,277,261
01/03/2016,RWW,Warrington And Halton Hospitals,NA,NA
01/03/2016,RWX,Berkshire Healthcare,146,131
01/03/2016,RWY,Calderdale And Huddersfield,NA,NA
01/03/2016,RX1,Nottingham University Hospitals,NA,NA
01/03/2016,RX2,Sussex Partnership,614,549
01/03/2016,RX3,"Tees, Esk And Wear Valleys",793,706
01/03/2016,RX4,"Northumberland, Tyne And Wear",639,539
01/03/2016,RXA,Cheshire And Wirral Partnership,286,266
01/03/2016,RXC,East Sussex Healthcare,NA,NA
01/03/2016,RXE,Rotherham Doncaster And South Humber,264,200
01/03/2016,RXF,Mid Yorkshire Hospitals,NA,NA
01/03/2016,RXG,South West Yorkshire Partnership,448,380
01/03/2016,RXH,Brighton And Sussex University Hospitals,NA,NA
01/03/2016,RXK,Sandwell And West Birmingham Hospitals,NA,NA
01/03/2016,RXL,Blackpool Teaching Hospitals,NA,NA
01/03/2016,RXM,Derbyshire Healthcare,287,270
01/03/2016,RXN,Lancashire Teaching Hospitals,NA,NA
01/03/2016,RXP,County Durham And Darlington,NA,NA
01/03/2016,RXQ,Buckinghamshire Healthcare,NA,NA
01/03/2016,RXR,East Lancashire Hospitals,NA,NA
01/03/2016,RXT,Birmingham And Solihull Mental Health,695,658
01/03/2016,RXW,Shrewsbury And Telford Hospital,NA,NA
01/03/2016,RXX,Surrey And Borders Partnership,204,176
01/03/2016,RXY,Kent And Medway NHS And Social Care Partnership Trust,509,476
01/03/2016,RY3,Norfolk Community Health And Care,NA,NA
01/03/2016,RY5,Lincolnshire Community Health Services,NA,NA
01/03/2016,RY6,Leeds Community Healthcare,8,7
01/03/2016,RY8,Derbyshire Community Health Services,55,41
01/03/2016,RYG,Coventry And Warwickshire Partnership,245,220
01/03/2016,RYJ,Imperial College Healthcare,NA,NA
01/03/2016,RYK,Dudley And Walsall Mental Health Partnership,181,147
01/03/2016,RYR,Western Sussex Hospitals,NA,NA
01/03/2016,RYV,Cambridgeshire Community Services,NA,NA
01/03/2016,RYW,Birmingham Community Healthcare,NA,NA
01/03/2016,RYX,Central London Community Healthcare,NA,NA
01/03/2016,TAD,Bradford District Care,212,187
01/03/2016,TAE,Manchester Mental Health And Social Care Trust,252,238
01/03/2016,TAF,Camden And Islington,166,155
01/03/2016,TAH,Sheffield Health & Social Care,183,155
01/03/2016,TAJ,Black Country Partnership,156,122
01/06/2016,R1A,Worcestershire Health And Care,134,121
01/06/2016,R1C,Solent,66,57
01/06/2016,R1E,Staffordshire And Stoke On Trent Partnership,NA,NA
01/06/2016,R1F,Isle Of Wight,57,42
01/06/2016,R1H,Barts Health,NA,NA
01/06/2016,R1J,Gloucestershire Care Services,NA,NA
01/06/2016,R1K,London North West Healthcare,NA,NA
01/06/2016,RA2,Royal Surrey County Hospital,NA,NA
01/06/2016,RA3,Weston Area Health,NA,NA
01/06/2016,RA4,Yeovil District Hospital,NA,NA
01/06/2016,RA7,University Hospitals Bristol,NA,NA
01/06/2016,RA9,Torbay And South Devon,NA,NA
01/06/2016,RAE,Bradford Teaching Hospitals,NA,NA
01/06/2016,RAJ,Southend University Hospital,NA,NA
01/06/2016,RAL,Royal Free London,6,2
01/06/2016,RAN,Royal National Orthopaedic Hospital,NA,NA
01/06/2016,RAP,North Middlesex University Hospital,NA,NA
01/06/2016,RAS,The Hillingdon Hospitals,NA,NA
01/06/2016,RAT,North East London,204,186
01/06/2016,RAX,Kingston Hospital,NA,NA
01/06/2016,RBA,Taunton And Somerset,NA,NA
01/06/2016,RBD,Dorset County Hospital,NA,NA
01/06/2016,RBK,Walsall Healthcare,NA,NA
01/06/2016,RBL,Wirral University Teaching Hospital,NA,NA
01/06/2016,RBN,St Helens And Knowsley Hospital Services,NA,NA
01/06/2016,RBQ,Liverpool Heart And Chest Hospital,NA,NA
01/06/2016,RBS,Alder Hey Children's,7,3
01/06/2016,RBT,Mid Cheshire Hospitals,NA,NA
01/06/2016,RBV,The Christie,NA,NA
01/06/2016,RBZ,Northern Devon Healthcare,NA,NA
01/06/2016,RC1,Bedford Hospital,NA,NA
01/06/2016,RC9,Luton And Dunstable University Hospital,NA,NA
01/06/2016,RCB,York Teaching Hospital,NA,NA
01/06/2016,RCD,Harrogate And District,NA,NA
01/06/2016,RCF,Airedale,NA,NA
01/06/2016,RCU,Sheffield Children's,23,21
01/06/2016,RCX,"The Queen Elizabeth Hospital, King's Lynn,",NA,NA
01/06/2016,RD1,Royal United Hospitals Bath,NA,NA
01/06/2016,RD3,Poole Hospital,NA,NA
01/06/2016,RD8,Milton Keynes University Hospital,NA,NA
01/06/2016,RDD,Basildon And Thurrock University Hospitals,NA,NA
01/06/2016,RDE,Colchester Hospital University,NA,NA
01/06/2016,RDR,Sussex Community,NA,NA
01/06/2016,RDU,Frimley Health,NA,NA
01/06/2016,RDY,Dorset Healthcare University,227,212
01/06/2016,RDZ,The Royal Bournemouth And Christchurch Hospitals,NA,NA
01/06/2016,RE9,South Tyneside,NA,NA
01/06/2016,REF,Royal Cornwall Hospitals,NA,NA
01/06/2016,REM,Aintree University Hospital,NA,NA
01/06/2016,REN,The Clatterbridge Cancer Centre,NA,NA
01/06/2016,REP,Liverpool Women's,NA,NA
01/06/2016,RET,The Walton Centre,NA,NA
01/06/2016,RF4,"Barking, Havering And Redbridge University Hospitals",NA,NA
01/06/2016,RFF,Barnsley Hospital,NA,NA
01/06/2016,RFR,The Rotherham,NA,NA
01/06/2016,RFS,Chesterfield Royal Hospital,NA,NA
01/06/2016,RGD,Leeds And York Partnership,391,353
01/06/2016,RGM,Papworth Hospital,NA,NA
01/06/2016,RGN,North West Anglia,NA,NA
01/06/2016,RGP,James Paget University Hospitals,NA,NA
01/06/2016,RGQ,Ipswich Hospital,NA,NA
01/06/2016,RGR,West Suffolk,NA,NA
01/06/2016,RGT,Cambridge University Hospitals,NA,NA
01/06/2016,RH5,Somerset Partnership,142,124
01/06/2016,RH8,Royal Devon And Exeter,NA,NA
01/06/2016,RHA,Nottinghamshire Healthcare,867,787
01/06/2016,RHM,University Hospital Southampton,NA,NA
01/06/2016,RHQ,Sheffield Teaching Hospitals,NA,NA
01/06/2016,RHU,Portsmouth Hospitals,NA,NA
01/06/2016,RHW,Royal Berkshire,NA,NA
01/06/2016,RJ1,Guy's And St Thomas',NA,NA
01/06/2016,RJ2,Lewisham And Greenwich,NA,NA
01/06/2016,RJ6,Croydon Health Services,NA,NA
01/06/2016,RJ7,St George's University Hospitals,NA,NA
01/06/2016,RJ8,Cornwall Partnership,117,98
01/06/2016,RJC,South Warwickshire,NA,NA
01/06/2016,RJE,University Hospitals Of North Midlands,NA,NA
01/06/2016,RJF,Burton Hospitals,NA,NA
01/06/2016,RJL,Northern Lincolnshire And Goole,NA,NA
01/06/2016,RJN,East Cheshire,NA,NA
01/06/2016,RJR,Countess Of Chester Hospital,NA,NA
01/06/2016,RJX,Calderstones Partnership,NA,NA
01/06/2016,RJZ,King's College Hospital,NA,NA
01/06/2016,RK5,Sherwood Forest Hospitals,NA,NA
01/06/2016,RK9,Plymouth Hospitals,NA,NA
01/06/2016,RKB,University Hospitals Coventry And Warwickshire,NA,NA
01/06/2016,RKE,The Whittington Hospital,12,11
01/06/2016,RKL,West London Mental Health,764,720
01/06/2016,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital,NA,NA
01/06/2016,RL4,The Royal Wolverhampton,NA,NA
01/06/2016,RLN,City Hospitals Sunderland,NA,NA
01/06/2016,RLQ,Wye Valley,NA,NA
01/06/2016,RLT,George Eliot Hospital,NA,NA
01/06/2016,RLU,Birmingham Women's,NA,NA
01/06/2016,RLY,North Staffordshire Combined Healthcare,167,148
01/06/2016,RM1,Norfolk And Norwich University Hospitals,NA,NA
01/06/2016,RM2,University Hospital Of South Manchester,NA,NA
01/06/2016,RM3,Salford Royal,NA,NA
01/06/2016,RMC,Bolton,NA,NA
01/06/2016,RMP,Tameside And Glossop Integrated Care,NA,NA
01/06/2016,RMY,Norfolk And Suffolk,414,355
01/06/2016,RN3,Great Western Hospitals,NA,NA
01/06/2016,RN5,Hampshire Hospitals,NA,NA
01/06/2016,RN7,Dartford And Gravesham,NA,NA
01/06/2016,RNA,The Dudley Group,NA,NA
01/06/2016,RNL,North Cumbria University Hospitals,NA,NA
01/06/2016,RNN,Cumbria Partnership,130,115
01/06/2016,RNQ,Kettering General Hospital,NA,NA
01/06/2016,RNS,Northampton General Hospital,NA,NA
01/06/2016,RNU,Oxford Health,395,360
01/06/2016,RNZ,Salisbury,NA,NA
01/06/2016,RP1,Northamptonshire Healthcare,182,175
01/06/2016,RP4,Great Ormond Street Hospital For Children,9,7
01/06/2016,RP5,Doncaster And Bassetlaw Teaching Hospitals,NA,NA
01/06/2016,RP6,Moorfields Eye Hospital,NA,NA
01/06/2016,RP7,Lincolnshire Partnership,237,212
01/06/2016,RPA,Medway,NA,NA
01/06/2016,RPC,Queen Victoria Hospital,NA,NA
01/06/2016,RPG,Oxleas,447,400
01/06/2016,RPY,The Royal Marsden,NA,NA
01/06/2016,RQ3,Birmingham Women's And Children's,34,31
01/06/2016,RQ6,Royal Liverpool And Broadgreen University Hospitals,NA,NA
01/06/2016,RQ8,Mid Essex Hospital Services,NA,NA
01/06/2016,RQM,Chelsea And Westminster Hospital,NA,NA
01/06/2016,RQQ,Hinchingbrooke Health Care,NA,NA
01/06/2016,RQW,The Princess Alexandra Hospital,NA,NA
01/06/2016,RQX,Homerton University Hospital,NA,NA
01/06/2016,RQY,South West London And St George's Mental Health,414,369
01/06/2016,RR1,Heart Of England,NA,NA
01/06/2016,RR7,Gateshead Health,33,28
01/06/2016,RR8,Leeds Teaching Hospitals,NA,NA
01/06/2016,RRD,North Essex Partnership University,314,305
01/06/2016,RRE,South Staffordshire And Shropshire Healthcare,305,282
01/06/2016,RRF,"Wrightington, Wigan And Leigh",NA,NA
01/06/2016,RRJ,The Royal Orthopaedic Hospital,NA,NA
01/06/2016,RRK,University Hospitals Birmingham,NA,NA
01/06/2016,RRP,"Barnet, Enfield And Haringey Mental Health",509,498
01/06/2016,RRV,University College London Hospitals,12,8
01/06/2016,RT1,Cambridgeshire And Peterborough,237,200
01/06/2016,RT2,Pennine Care,500,464
01/06/2016,RT3,Royal Brompton & Harefield,NA,NA
01/06/2016,RTD,The Newcastle Upon Tyne Hospitals,NA,NA
01/06/2016,RTE,Gloucestershire Hospitals,NA,NA
01/06/2016,RTF,Northumbria Healthcare,45,30
01/06/2016,RTG,Derby Teaching Hospitals,NA,NA
01/06/2016,RTH,Oxford University Hospitals,NA,NA
01/06/2016,RTK,Ashford And St Peter's Hospitals,NA,NA
01/06/2016,RTP,Surrey And Sussex Healthcare,NA,NA
01/06/2016,RTQ,2gether,209,188
01/06/2016,RTR,South Tees Hospitals,NA,NA
01/06/2016,RTV,North West Boroughs Healthcare,308,282
01/06/2016,RTX,University Hospitals Of Morecambe Bay,NA,NA
01/06/2016,RV3,Central And North West London,798,706
01/06/2016,RV9,Humber,207,181
01/06/2016,RVJ,North Bristol,22,13
01/06/2016,RVN,Avon And Wiltshire Mental Health Partnership,539,473
01/06/2016,RVR,Epsom And St Helier University Hospitals,NA,NA
01/06/2016,RVV,East Kent Hospitals University,NA,NA
01/06/2016,RVW,North Tees And Hartlepool,NA,NA
01/06/2016,RVY,Southport And Ormskirk Hospital,NA,NA
01/06/2016,RW1,Southern Health,452,420
01/06/2016,RW3,Central Manchester University Hospitals,12,10
01/06/2016,RW4,Mersey Care,609,563
01/06/2016,RW5,Lancashire Care,498,471
01/06/2016,RW6,Pennine Acute Hospitals,NA,NA
01/06/2016,RWA,Hull And East Yorkshire Hospitals,NA,NA
01/06/2016,RWD,United Lincolnshire Hospitals,NA,NA
01/06/2016,RWE,University Hospitals Of Leicester,NA,NA
01/06/2016,RWF,Maidstone And Tunbridge Wells,NA,NA
01/06/2016,RWG,West Hertfordshire Hospitals,NA,NA
01/06/2016,RWH,East And North Hertfordshire,NA,NA
01/06/2016,RWJ,Stockport,NA,NA
01/06/2016,RWK,East London,915,787
01/06/2016,RWN,South Essex Partnership University,410,372
01/06/2016,RWP,Worcestershire Acute Hospitals,NA,NA
01/06/2016,RWV,Devon Partnership,276,265
01/06/2016,RWW,Warrington And Halton Hospitals,NA,NA
01/06/2016,RWX,Berkshire Healthcare,156,133
01/06/2016,RWY,Calderdale And Huddersfield,NA,NA
01/06/2016,RX1,Nottingham University Hospitals,NA,NA
01/06/2016,RX2,Sussex Partnership,591,580
01/06/2016,RX3,"Tees, Esk And Wear Valleys",752,696
01/06/2016,RX4,"Northumberland, Tyne And Wear",638,540
01/06/2016,RXA,Cheshire And Wirral Partnership,287,263
01/06/2016,RXC,East Sussex Healthcare,NA,NA
01/06/2016,RXE,Rotherham Doncaster And South Humber,257,195
01/06/2016,RXF,Mid Yorkshire Hospitals,NA,NA
01/06/2016,RXG,South West Yorkshire Partnership,448,356
01/06/2016,RXH,Brighton And Sussex University Hospitals,NA,NA
01/06/2016,RXK,Sandwell And West Birmingham Hospitals,NA,NA
01/06/2016,RXL,Blackpool Teaching Hospitals,NA,NA
01/06/2016,RXM,Derbyshire Healthcare,287,270
01/06/2016,RXN,Lancashire Teaching Hospitals,NA,NA
01/06/2016,RXP,County Durham And Darlington,NA,NA
01/06/2016,RXQ,Buckinghamshire Healthcare,NA,NA
01/06/2016,RXR,East Lancashire Hospitals,NA,NA
01/06/2016,RXT,Birmingham And Solihull Mental Health,674,640
01/06/2016,RXW,Shrewsbury And Telford Hospital,NA,NA
01/06/2016,RXX,Surrey And Borders Partnership,209,188
01/06/2016,RXY,Kent And Medway NHS And Social Care Partnership Trust,506,480
01/06/2016,RY3,Norfolk Community Health And Care,NA,NA
01/06/2016,RY5,Lincolnshire Community Health Services,NA,NA
01/06/2016,RY6,Leeds Community Healthcare,8,7
01/06/2016,RY8,Derbyshire Community Health Services,55,42
01/06/2016,RYG,Coventry And Warwickshire Partnership,241,219
01/06/2016,RYJ,Imperial College Healthcare,NA,NA
01/06/2016,RYK,Dudley And Walsall Mental Health Partnership,181,149
01/06/2016,RYR,Western Sussex Hospitals,NA,NA
01/06/2016,RYV,Cambridgeshire Community Services,NA,NA
01/06/2016,RYW,Birmingham Community Healthcare,NA,NA
01/06/2016,RYX,Central London Community Healthcare,NA,NA
01/06/2016,TAD,Bradford District Care,212,183
01/06/2016,TAE,Manchester Mental Health And Social Care Trust,254,237
01/06/2016,TAF,Camden And Islington,182,168
01/06/2016,TAH,Sheffield Health & Social Care,163,145
01/06/2016,TAJ,Black Country Partnership,156,124
01/09/2016,R1A,Worcestershire Health And Care,134,121
01/09/2016,R1C,Solent,66,59
01/09/2016,R1E,Staffordshire And Stoke On Trent Partnership,NA,NA
01/09/2016,R1F,Isle Of Wight,57,44
01/09/2016,R1H,Barts Health,NA,NA
01/09/2016,R1J,Gloucestershire Care Services,NA,NA
01/09/2016,R1K,London North West Healthcare,NA,NA
01/09/2016,RA2,Royal Surrey County Hospital,NA,NA
01/09/2016,RA3,Weston Area Health,NA,NA
01/09/2016,RA4,Yeovil District Hospital,NA,NA
01/09/2016,RA7,University Hospitals Bristol,NA,NA
01/09/2016,RA9,Torbay And South Devon,NA,NA
01/09/2016,RAE,Bradford Teaching Hospitals,NA,NA
01/09/2016,RAJ,Southend University Hospital,NA,NA
01/09/2016,RAL,Royal Free London,6,1
01/09/2016,RAN,Royal National Orthopaedic Hospital,NA,NA
01/09/2016,RAP,North Middlesex University Hospital,NA,NA
01/09/2016,RAS,The Hillingdon Hospitals,NA,NA
01/09/2016,RAT,North East London,204,181
01/09/2016,RAX,Kingston Hospital,NA,NA
01/09/2016,RBA,Taunton And Somerset,NA,NA
01/09/2016,RBD,Dorset County Hospital,NA,NA
01/09/2016,RBK,Walsall Healthcare,NA,NA
01/09/2016,RBL,Wirral University Teaching Hospital,NA,NA
01/09/2016,RBN,St Helens And Knowsley Hospital Services,NA,NA
01/09/2016,RBQ,Liverpool Heart And Chest Hospital,NA,NA
01/09/2016,RBS,Alder Hey Children's,7,2
01/09/2016,RBT,Mid Cheshire Hospitals,NA,NA
01/09/2016,RBV,The Christie,NA,NA
01/09/2016,RBZ,Northern Devon Healthcare,NA,NA
01/09/2016,RC1,Bedford Hospital,NA,NA
01/09/2016,RC9,Luton And Dunstable University Hospital,NA,NA
01/09/2016,RCB,York Teaching Hospital,NA,NA
01/09/2016,RCD,Harrogate And District,NA,NA
01/09/2016,RCF,Airedale,NA,NA
01/09/2016,RCU,Sheffield Children's,22,18
01/09/2016,RCX,"The Queen Elizabeth Hospital, King's Lynn,",NA,NA
01/09/2016,RD1,Royal United Hospitals Bath,NA,NA
01/09/2016,RD3,Poole Hospital,NA,NA
01/09/2016,RD8,Milton Keynes University Hospital,NA,NA
01/09/2016,RDD,Basildon And Thurrock University Hospitals,NA,NA
01/09/2016,RDE,Colchester Hospital University,NA,NA
01/09/2016,RDR,Sussex Community,NA,NA
01/09/2016,RDU,Frimley Health,NA,NA
01/09/2016,RDY,Dorset Healthcare University,221,208
01/09/2016,RDZ,The Royal Bournemouth And Christchurch Hospitals,NA,NA
01/09/2016,RE9,South Tyneside,NA,NA
01/09/2016,REF,Royal Cornwall Hospitals,NA,NA
01/09/2016,REM,Aintree University Hospital,NA,NA
01/09/2016,REN,The Clatterbridge Cancer Centre,NA,NA
01/09/2016,REP,Liverpool Women's,NA,NA
01/09/2016,RET,The Walton Centre,NA,NA
01/09/2016,RF4,"Barking, Havering And Redbridge University Hospitals",NA,NA
01/09/2016,RFF,Barnsley Hospital,NA,NA
01/09/2016,RFR,The Rotherham,NA,NA
01/09/2016,RFS,Chesterfield Royal Hospital,NA,NA
01/09/2016,RGD,Leeds And York Partnership,383,338
01/09/2016,RGM,Papworth Hospital,NA,NA
01/09/2016,RGN,North West Anglia,NA,NA
01/09/2016,RGP,James Paget University Hospitals,NA,NA
01/09/2016,RGQ,Ipswich Hospital,NA,NA
01/09/2016,RGR,West Suffolk,NA,NA
01/09/2016,RGT,Cambridge University Hospitals,NA,NA
01/09/2016,RH5,Somerset Partnership,148,127
01/09/2016,RH8,Royal Devon And Exeter,NA,NA
01/09/2016,RHA,Nottinghamshire Healthcare,866,792
01/09/2016,RHM,University Hospital Southampton,NA,NA
01/09/2016,RHQ,Sheffield Teaching Hospitals,NA,NA
01/09/2016,RHU,Portsmouth Hospitals,NA,NA
01/09/2016,RHW,Royal Berkshire,NA,NA
01/09/2016,RJ1,Guy's And St Thomas',NA,NA
01/09/2016,RJ2,Lewisham And Greenwich,NA,NA
01/09/2016,RJ6,Croydon Health Services,NA,NA
01/09/2016,RJ7,St George's University Hospitals,NA,NA
01/09/2016,RJ8,Cornwall Partnership,116,103
01/09/2016,RJC,South Warwickshire,NA,NA
01/09/2016,RJE,University Hospitals Of North Midlands,NA,NA
01/09/2016,RJF,Burton Hospitals,NA,NA
01/09/2016,RJL,Northern Lincolnshire And Goole,NA,NA
01/09/2016,RJN,East Cheshire,NA,NA
01/09/2016,RJR,Countess Of Chester Hospital,NA,NA
01/09/2016,RJZ,King's College Hospital,NA,NA
01/09/2016,RK5,Sherwood Forest Hospitals,NA,NA
01/09/2016,RK9,Plymouth Hospitals,NA,NA
01/09/2016,RKB,University Hospitals Coventry And Warwickshire,NA,NA
01/09/2016,RKE,The Whittington Hospital,12,11
01/09/2016,RKL,West London Mental Health,752,705
01/09/2016,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital,NA,NA
01/09/2016,RL4,The Royal Wolverhampton,NA,NA
01/09/2016,RLN,City Hospitals Sunderland,NA,NA
01/09/2016,RLQ,Wye Valley,NA,NA
01/09/2016,RLT,George Eliot Hospital,NA,NA
01/09/2016,RLU,Birmingham Women's,NA,NA
01/09/2016,RLY,North Staffordshire Combined Healthcare,167,137
01/09/2016,RM1,Norfolk And Norwich University Hospitals,NA,NA
01/09/2016,RM2,University Hospital Of South Manchester,NA,NA
01/09/2016,RM3,Salford Royal,NA,NA
01/09/2016,RMC,Bolton,NA,NA
01/09/2016,RMP,Tameside And Glossop Integrated Care,NA,NA
01/09/2016,RMY,Norfolk And Suffolk,421,367
01/09/2016,RN3,Great Western Hospitals,NA,NA
01/09/2016,RN5,Hampshire Hospitals,NA,NA
01/09/2016,RN7,Dartford And Gravesham,NA,NA
01/09/2016,RNA,The Dudley Group,NA,NA
01/09/2016,RNL,North Cumbria University Hospitals,NA,NA
01/09/2016,RNN,Cumbria Partnership,140,116
01/09/2016,RNQ,Kettering General Hospital,NA,NA
01/09/2016,RNS,Northampton General Hospital,NA,NA
01/09/2016,RNU,Oxford Health,394,370
01/09/2016,RNZ,Salisbury,NA,NA
01/09/2016,RP1,Northamptonshire Healthcare,192,182
01/09/2016,RP4,Great Ormond Street Hospital For Children,10,8
01/09/2016,RP5,Doncaster And Bassetlaw Teaching Hospitals,NA,NA
01/09/2016,RP6,Moorfields Eye Hospital,NA,NA
01/09/2016,RP7,Lincolnshire Partnership,237,218
01/09/2016,RPA,Medway,NA,NA
01/09/2016,RPC,Queen Victoria Hospital,NA,NA
01/09/2016,RPG,Oxleas,446,393
01/09/2016,RPY,The Royal Marsden,NA,NA
01/09/2016,RQ3,Birmingham Women's And Children's,34,27
01/09/2016,RQ6,Royal Liverpool And Broadgreen University Hospitals,NA,NA
01/09/2016,RQ8,Mid Essex Hospital Services,NA,NA
01/09/2016,RQM,Chelsea And Westminster Hospital,NA,NA
01/09/2016,RQQ,Hinchingbrooke Health Care,NA,NA
01/09/2016,RQW,The Princess Alexandra Hospital,NA,NA
01/09/2016,RQX,Homerton University Hospital,NA,NA
01/09/2016,RQY,South West London And St George's Mental Health,416,361
01/09/2016,RR1,Heart Of England,NA,NA
01/09/2016,RR7,Gateshead Health,40,34
01/09/2016,RR8,Leeds Teaching Hospitals,NA,NA
01/09/2016,RRD,North Essex Partnership University,314,309
01/09/2016,RRE,South Staffordshire And Shropshire Healthcare,305,279
01/09/2016,RRF,"Wrightington, Wigan And Leigh",NA,NA
01/09/2016,RRJ,The Royal Orthopaedic Hospital,NA,NA
01/09/2016,RRK,University Hospitals Birmingham,NA,NA
01/09/2016,RRP,"Barnet, Enfield And Haringey Mental Health",497,496
01/09/2016,RRV,University College London Hospitals,12,8
01/09/2016,RT1,Cambridgeshire And Peterborough,233,196
01/09/2016,RT2,Pennine Care,500,498
01/09/2016,RT3,Royal Brompton & Harefield,NA,NA
01/09/2016,RTD,The Newcastle Upon Tyne Hospitals,NA,NA
01/09/2016,RTE,Gloucestershire Hospitals,NA,NA
01/09/2016,RTF,Northumbria Healthcare,42,28
01/09/2016,RTG,Derby Teaching Hospitals,NA,NA
01/09/2016,RTH,Oxford University Hospitals,NA,NA
01/09/2016,RTK,Ashford And St Peter's Hospitals,NA,NA
01/09/2016,RTP,Surrey And Sussex Healthcare,NA,NA
01/09/2016,RTQ,2gether,210,178
01/09/2016,RTR,South Tees Hospitals,NA,NA
01/09/2016,RTV,North West Boroughs Healthcare,308,285
01/09/2016,RTX,University Hospitals Of Morecambe Bay,NA,NA
01/09/2016,RV3,Central And North West London,789,723
01/09/2016,RV9,Humber,207,185
01/09/2016,RVJ,North Bristol,12,6
01/09/2016,RVN,Avon And Wiltshire Mental Health Partnership,539,469
01/09/2016,RVR,Epsom And St Helier University Hospitals,NA,NA
01/09/2016,RVV,East Kent Hospitals University,NA,NA
01/09/2016,RVW,North Tees And Hartlepool,NA,NA
01/09/2016,RVY,Southport And Ormskirk Hospital,NA,NA
01/09/2016,RW1,Southern Health,447,417
01/09/2016,RW3,Central Manchester University Hospitals,12,11
01/09/2016,RW4,Mersey Care,595,544
01/09/2016,RW5,Lancashire Care,501,478
01/09/2016,RW6,Pennine Acute Hospitals,NA,NA
01/09/2016,RWA,Hull And East Yorkshire Hospitals,NA,NA
01/09/2016,RWD,United Lincolnshire Hospitals,NA,NA
01/09/2016,RWE,University Hospitals Of Leicester,NA,NA
01/09/2016,RWF,Maidstone And Tunbridge Wells,NA,NA
01/09/2016,RWG,West Hertfordshire Hospitals,NA,NA
01/09/2016,RWH,East And North Hertfordshire,NA,NA
01/09/2016,RWJ,Stockport,NA,NA
01/09/2016,RWK,East London,916,770
01/09/2016,RWN,South Essex Partnership University,377,368
01/09/2016,RWP,Worcestershire Acute Hospitals,NA,NA
01/09/2016,RWV,Devon Partnership,278,264
01/09/2016,RWW,Warrington And Halton Hospitals,NA,NA
01/09/2016,RWX,Berkshire Healthcare,157,137
01/09/2016,RWY,Calderdale And Huddersfield,NA,NA
01/09/2016,RX1,Nottingham University Hospitals,NA,NA
01/09/2016,RX2,Sussex Partnership,594,589
01/09/2016,RX3,"Tees, Esk And Wear Valleys",739,687
01/09/2016,RX4,"Northumberland, Tyne And Wear",633,537
01/09/2016,RXA,Cheshire And Wirral Partnership,295,271
01/09/2016,RXC,East Sussex Healthcare,NA,NA
01/09/2016,RXE,Rotherham Doncaster And South Humber,257,199
01/09/2016,RXF,Mid Yorkshire Hospitals,NA,NA
01/09/2016,RXG,South West Yorkshire Partnership,448,344
01/09/2016,RXH,Brighton And Sussex University Hospitals,NA,NA
01/09/2016,RXK,Sandwell And West Birmingham Hospitals,NA,NA
01/09/2016,RXL,Blackpool Teaching Hospitals,NA,NA
01/09/2016,RXM,Derbyshire Healthcare,287,274
01/09/2016,RXN,Lancashire Teaching Hospitals,NA,NA
01/09/2016,RXP,County Durham And Darlington,NA,NA
01/09/2016,RXQ,Buckinghamshire Healthcare,NA,NA
01/09/2016,RXR,East Lancashire Hospitals,NA,NA
01/09/2016,RXT,Birmingham And Solihull Mental Health,671,644
01/09/2016,RXW,Shrewsbury And Telford Hospital,NA,NA
01/09/2016,RXX,Surrey And Borders Partnership,199,185
01/09/2016,RXY,Kent And Medway NHS And Social Care Partnership Trust,501,470
01/09/2016,RY3,Norfolk Community Health And Care,NA,NA
01/09/2016,RY5,Lincolnshire Community Health Services,NA,NA
01/09/2016,RY6,Leeds Community Healthcare,8,6
01/09/2016,RY8,Derbyshire Community Health Services,54,42
01/09/2016,RYG,Coventry And Warwickshire Partnership,241,221
01/09/2016,RYJ,Imperial College Healthcare,NA,NA
01/09/2016,RYK,Dudley And Walsall Mental Health Partnership,181,159
01/09/2016,RYR,Western Sussex Hospitals,NA,NA
01/09/2016,RYV,Cambridgeshire Community Services,NA,NA
01/09/2016,RYW,Birmingham Community Healthcare,NA,NA
01/09/2016,RYX,Central London Community Healthcare,NA,NA
01/09/2016,TAD,Bradford District Care,210,187
01/09/2016,TAE,Manchester Mental Health And Social Care Trust,254,240
01/09/2016,TAF,Camden And Islington,182,167
